"Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Meaning of NAICS code (NAICS2017_LABEL)","Meaning of Legal form of organization code (LFO_LABEL)","Meaning of Employment size of establishments code (EMPSZES_LABEL)","Year (YEAR)","Number of establishments (ESTAB)","Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)","Number of employees (EMP)"
"Florida","722511","Full-service restaurants","All establishments","All establishments","2019","17,000","9,338,660","2,401,862","436,904"
"Florida","722511","Full-service restaurants","All establishments","Establishments with less than 5 employees","2019","4,454","316,062","35,435","7,048"
"Florida","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2019","2,489","329,390","84,326","16,898"
"Florida","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2019","2,945","810,238","212,425","41,448"
"Florida","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2019","4,337","2,759,569","726,424","137,860"
"Florida","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2019","2,148","3,094,582","817,701","144,722"
"Florida","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2019","600","1,772,995","458,873","79,661"
"Florida","722511","Full-service restaurants","All establishments","Establishments with 250 to 499 employees","2019","26","227,137","58,471","8,649"
"Florida","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","All establishments","2019","3,807","3,019,508","767,037","143,067"
"Florida","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2019","926","63,573","7,204","1,440"
"Florida","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2019","387","48,167","11,890","2,519"
"Florida","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2019","412","110,307","27,635","5,996"
"Florida","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2019","942","612,242","157,072","31,969"
"Florida","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2019","839","1,257,988","326,686","57,960"
"Florida","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2019","282","765,129","195,805","36,826"
"Florida","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 250 to 499 employees","2019","19","162,102","40,745","6,357"
"Florida","722511","Full-service restaurants","S-corporations ","All establishments","2019","8,675","3,870,134","1,006,533","180,755"
"Florida","722511","Full-service restaurants","S-corporations ","Establishments with less than 5 employees","2019","2,155","135,821","20,611","3,983"
"Florida","722511","Full-service restaurants","S-corporations ","Establishments with 5 to 9 employees","2019","1,509","208,897","54,118","10,346"
"Florida","722511","Full-service restaurants","S-corporations ","Establishments with 10 to 19 employees","2019","1,846","516,400","135,816","25,810"
"Florida","722511","Full-service restaurants","S-corporations ","Establishments with 20 to 49 employees","2019","2,288","1,458,348","385,800","70,462"
"Florida","722511","Full-service restaurants","S-corporations ","Establishments with 50 to 99 employees","2019","699","981,070","261,363","45,461"
"Florida","722511","Full-service restaurants","S-corporations ","Establishments with 100 to 249 employees","2019","174","529,945","137,249","23,385"
"Florida","722511","Full-service restaurants","S-corporations ","Establishments with 250 to 499 employees","2019","4","39,653","11,576","1,308"
"Florida","722511","Full-service restaurants","Individual proprietorships","All establishments","2019","1,011","435,729","109,436","21,833"
"Florida","722511","Full-service restaurants","Individual proprietorships","Establishments with less than 5 employees","2019","417","19,193","2,270","599"
"Florida","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2019","146","17,253","4,325","979"
"Florida","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2019","130","31,047","7,955","1,800"
"Florida","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2019","143","85,441","22,775","4,577"
"Florida","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2019","156","199,640","50,557","10,805"
"Florida","722511","Full-service restaurants","Individual proprietorships","Establishments with 100 to 249 employees","2019","18","54,468","13,347","2,455"
"Florida","722511","Full-service restaurants","Partnerships","All establishments","2019","3,485","1,992,429","513,865","90,389"
"Florida","722511","Full-service restaurants","Partnerships","Establishments with less than 5 employees","2019","949","97,013","5,256","1,017"
"Florida","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2019","446","54,695","13,904","3,049"
"Florida","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2019","555","151,865","40,863","7,803"
"Florida","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2019","960","601,424","160,254","30,733"
"Florida","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2019","447","643,397","175,930","29,996"
"Florida","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2019","125","418,653","111,508","16,807"
"Florida","722511","Full-service restaurants","Partnerships","Establishments with 250 to 499 employees","2019","3","25,382","6,150","984"
"Florida","722511","Full-service restaurants","Non-profit","All establishments","2019","11","2,857","732","163"
"Florida","722511","Full-service restaurants","Non-profit","Establishments with less than 5 employees","2019","5","435","94","9"
"Florida","722511","Full-service restaurants","Other noncorporate legal forms of organization","All establishments","2019","11","18,003","4,259","697"
"Florida","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 50 to 99 employees","2019","6","11,812","2,969","452"
