"Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Meaning of NAICS Code (NAICS2017_LABEL)","Meaning of Legal form of organization code (LFO_LABEL)","Meaning of Employment size of establishments code (EMPSZES_LABEL)","Year (YEAR)","Number of establishments (ESTAB)","Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)","Number of employees (EMP)"
"Florida","722511","Full-service restaurants","All establishments","All establishments","2021","17,442","10,425,750","2,253,243","384,600"
"Florida","722511","Full-service restaurants","All establishments","Establishments with less than 5 employees","2021","4,762","393,611","44,017","7,697"
"Florida","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2021","2,673","450,637","99,869","18,005"
"Florida","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2021","3,273","1,144,722","258,555","45,999"
"Florida","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2021","4,587","3,654,301","812,985","145,091"
"Florida","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2021","1,799","3,314,202","730,674","120,096"
"Florida","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2021","341","1,341,968","286,545","45,035"
"Florida","722511","Full-service restaurants","All establishments","Establishments with 250 to 499 employees","2021","5","50,447","7,242","1,599"
"Florida","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","All establishments","2021","3,594","2,999,456","640,969","109,298"
"Florida","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2021","938","65,886","8,745","1,511"
"Florida","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2021","401","63,687","14,776","2,597"
"Florida","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2021","488","166,295","39,040","6,978"
"Florida","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2021","904","794,985","173,777","30,934"
"Florida","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2021","745","1,374,194","301,044","49,948"
"Florida","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2021","114","444,031","90,849","15,732"
"Florida","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 250 to 499 employees","2021","3","29,192","2,077","1,022"
"Florida","722511","Full-service restaurants","S-corporations","All establishments","2021","8,997","4,470,676","987,319","167,174"
"Florida","722511","Full-service restaurants","S-corporations","Establishments with less than 5 employees","2021","2,382","184,514","25,902","4,409"
"Florida","722511","Full-service restaurants","S-corporations","Establishments with 5 to 9 employees","2021","1,628","281,486","63,258","11,057"
"Florida","722511","Full-service restaurants","S-corporations","Establishments with 10 to 19 employees","2021","2,020","726,226","164,354","28,213"
"Florida","722511","Full-service restaurants","S-corporations","Establishments with 20 to 49 employees","2021","2,274","1,789,229","403,277","69,491"
"Florida","722511","Full-service restaurants","S-corporations","Establishments with 50 to 99 employees","2021","565","1,003,627","223,345","37,175"
"Florida","722511","Full-service restaurants","S-corporations","Establishments with 100 to 249 employees","2021","127","469,807","103,224","16,502"
"Florida","722511","Full-service restaurants","Individual proprietorships","All establishments","2021","1,154","455,256","100,251","20,781"
"Florida","722511","Full-service restaurants","Individual proprietorships","Establishments with less than 5 employees","2021","397","22,506","2,615","570"
"Florida","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2021","154","20,141","4,574","1,027"
"Florida","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2021","185","52,006","11,748","2,689"
"Florida","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2021","343","218,438","50,506","10,974"
"Florida","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2021","64","110,600","23,932","4,159"
"Florida","722511","Full-service restaurants","Individual proprietorships","Establishments with 100 to 249 employees","2021","11","31,565","6,876","1,362"
"Florida","722511","Full-service restaurants","Partnerships","All establishments","2021","3,673","2,492,426","523,083","87,063"
"Florida","722511","Full-service restaurants","Partnerships","Establishments with less than 5 employees","2021","1,037","118,723","6,677","1,198"
"Florida","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2021","485","84,709","17,048","3,289"
"Florida","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2021","574","198,337","43,029","8,029"
"Florida","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2021","1,062","848,577","184,832","33,599"
"Florida","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2021","424","825,371","182,000","28,757"
"Florida","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2021","89","396,565","85,596","11,439"
"Florida","722511","Full-service restaurants","Non-profit","All establishments","2021","14","3,876","465","96"
"Florida","722511","Full-service restaurants","Non-profit","Establishments with less than 5 employees","2021","7","1,965","78","9"
"Florida","722511","Full-service restaurants","Non-profit","Establishments with 10 to 19 employees","2021","4","1,022","207","55"
"Florida","722511","Full-service restaurants","Other noncorporate legal forms of organization","All establishments","2021","10","4,060","1,156","188"
"Florida","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 5 to 9 employees","2021","3","470","184","22"
"Florida","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 20 to 49 employees","2021","3","2,327","442","74"
